id,city,state,attraction,category,latitude,longitude,visit_date,season,traveler_type,duration_days,rating,sentiment_label,sentiment_score,safety_score,cleanliness_score,crowd_level,cost_bucket,weather_at_visit,had_scam,had_emergency,emergency_services_nearby,review_text
189,Varanasi,Uttar Pradesh,Dashashwamedh Ghat,Spiritual,25.3176,82.9739,2025-05-30,Summer,Solo,1,3.9,Neutral,0.054,9,8,Low,Mid-range,Humid,0,0,Hospitals:8;Police:2,Visited Dashashwamedh Ghat in Varanasi as a Solo traveler during Summer. The trip lasted 1 days. I food options were okay. Weather was Humid and crowd level was Low. Overall rating 3.9/5.
190,Mount Abu,Rajasthan,Sunset Point,Hill Station,24.5925,72.7156,2023-05-06,Summer,Friends,5,4.4,Positive,0.533,5,8,Medium,Luxury,Sunny,1,0,Hospitals:11;Police:6,Visited Sunset Point in Mount Abu as a Friends traveler during Summer. The trip lasted 5 days. I transport was convenient. Weather was Sunny and crowd level was Medium. Overall rating 4.4/5.
191,Kolkata,West Bengal,Howrah Bridge,City,22.5726,88.3639,2024-06-25,Monsoon,Family,7,3.7,Neutral,-0.122,6,7,High,Mid-range,Humid,0,0,Hospitals:9;Police:2,Visited Howrah Bridge in Kolkata as a Family traveler during Monsoon. The trip lasted 7 days. I nothing extraordinary. Weather was Humid and crowd level was High. Overall rating 3.7/5.
192,Varanasi,Uttar Pradesh,Assi Ghat,Spiritual,25.3176,82.9739,2024-02-18,Winter,Couple,7,5.0,Positive,0.343,5,6,High,Luxury,Windy,0,0,Hospitals:1;Police:5,Visited Assi Ghat in Varanasi as a Couple traveler during Winter. The trip lasted 7 days. I transport was convenient. Weather was Windy and crowd level was High. Overall rating 5.0/5.
193,Bhubaneswar,Odisha,Nandankanan,City,20.2961,85.8245,2025-07-24,Monsoon,Couple,1,4.8,Positive,0.333,7,6,Medium,Budget,Sunny,0,0,Hospitals:5;Police:4,Visited Nandankanan in Bhubaneswar as a Couple traveler during Monsoon. The trip lasted 1 days. I scenic views were breathtaking. Weather was Sunny and crowd level was Medium. Overall rating 4.8/5.
194,Bhopal,Madhya Pradesh,Upper Lake,City,23.2599,77.4126,2025-01-02,Winter,Couple,7,4.7,Positive,0.447,7,7,High,Budget,Cloudy,0,0,Hospitals:8;Police:8,Visited Upper Lake in Bhopal as a Couple traveler during Winter. The trip lasted 7 days. I transport was convenient. Weather was Cloudy and crowd level was High. Overall rating 4.7/5.
195,Varanasi,Uttar Pradesh,Dashashwamedh Ghat,Spiritual,25.3176,82.9739,2025-10-30,Autumn,Couple,4,3.4,Neutral,0.123,7,8,High,Mid-range,Cold,0,0,Hospitals:4;Police:6,Visited Dashashwamedh Ghat in Varanasi as a Couple traveler during Autumn. The trip lasted 4 days. I basic amenities available. Weather was Cold and crowd level was High. Overall rating 3.4/5.
196,Puri,Odisha,Puri Beach,Coastal,19.8135,85.8312,2025-04-29,Summer,Friends,2,3.5,Neutral,0.139,5,3,Low,Budget,Humid,0,0,Hospitals:11;Police:5,Visited Puri Beach in Puri as a Friends traveler during Summer. The trip lasted 2 days. I experience was average. Weather was Humid and crowd level was Low. Overall rating 3.5/5.
197,Mount Abu,Rajasthan,Nakki Lake,Hill Station,24.5925,72.7156,2025-03-28,Summer,Friends,1,4.5,Positive,0.354,6,7,High,Mid-range,Cold,0,0,Hospitals:3;Police:1,Visited Nakki Lake in Mount Abu as a Friends traveler during Summer. The trip lasted 1 days. I transport was convenient. Weather was Cold and crowd level was High. Overall rating 4.5/5.
198,Bhopal,Madhya Pradesh,Sanchi Stupa,City,23.2599,77.4126,2024-11-21,Autumn,Friends,5,2.8,Neutral,-0.133,8,7,High,Mid-range,Cold,0,0,Hospitals:7;Police:5,Visited Sanchi Stupa in Bhopal as a Friends traveler during Autumn. The trip lasted 5 days. I experience was average. Weather was Cold and crowd level was High. Overall rating 2.8/5.
199,Delhi,Delhi,Qutub Minar,City,28.6139,77.209,2024-06-06,Monsoon,Family,1,4.4,Positive,0.609,7,6,Medium,Luxury,Sunny,0,0,Hospitals:4;Police:8,Visited Qutub Minar in Delhi as a Family traveler during Monsoon. The trip lasted 1 days. I transport was convenient. Weather was Sunny and crowd level was Medium. Overall rating 4.4/5.
200,Goa,Goa,Baga Beach,Beach,15.2993,74.124,2025-05-22,Summer,Business,4,4.6,Positive,0.858,7,4,Medium,Mid-range,Windy,0,0,Hospitals:11;Police:8,Visited Baga Beach in Goa as a Business traveler during Summer. The trip lasted 4 days. I had a wonderful time. Weather was Windy and crowd level was Medium. Overall rating 4.6/5.
201,Munnar,Kerala,Eravikulam NP,Hill Station,10.0892,77.0595,2024-09-12,Monsoon,Solo,7,2.4,Negative,-0.804,8,9,Medium,Mid-range,Humid,0,0,Hospitals:11;Police:5,Visited Eravikulam NP in Munnar as a Solo traveler during Monsoon. The trip lasted 7 days. I felt unsafe at night. Weather was Humid and crowd level was Medium. Overall rating 2.4/5.
202,Khajuraho,Madhya Pradesh,Panna Reserve,Heritage,24.8318,79.9199,2023-08-23,Monsoon,Friends,3,3.9,Neutral,0.117,8,8,Medium,Budget,Cloudy,0,0,Hospitals:8;Police:5,Visited Panna Reserve in Khajuraho as a Friends traveler during Monsoon. The trip lasted 3 days. I basic amenities available. Weather was Cloudy and crowd level was Medium. Overall rating 3.9/5.
203,Bhubaneswar,Odisha,Udayagiri,City,20.2961,85.8245,2024-11-05,Autumn,Friends,1,2.8,Neutral,-0.043,9,8,Low,Budget,Humid,0,0,Hospitals:9;Police:2,Visited Udayagiri in Bhubaneswar as a Friends traveler during Autumn. The trip lasted 1 days. I experience was average. Weather was Humid and crowd level was Low. Overall rating 2.8/5.
204,Ooty,Tamil Nadu,Ooty Lake,Hill Station,11.4064,76.6932,2024-11-28,Autumn,Family,4,3.3,Neutral,-0.1,6,7,Medium,Budget,Windy,0,0,Hospitals:1;Police:5,Visited Ooty Lake in Ooty as a Family traveler during Autumn. The trip lasted 4 days. I basic amenities available. Weather was Windy and crowd level was Medium. Overall rating 3.3/5.
205,Mysuru,Karnataka,Mysore Palace,Heritage,12.2958,76.6394,2023-01-12,Winter,Family,3,4.6,Positive,0.872,10,8,High,Mid-range,Windy,0,0,Hospitals:15;Police:5,Visited Mysore Palace in Mysuru as a Family traveler during Winter. The trip lasted 3 days. I scenic views were breathtaking. Weather was Windy and crowd level was High. Overall rating 4.6/5.
206,Andaman,Andaman & Nicobar,Cellular Jail,Island,11.7401,92.6586,2024-02-16,Winter,Friends,5,4.1,Positive,0.786,5,6,Very High,Luxury,Sunny,0,0,Hospitals:10;Police:5,Visited Cellular Jail in Andaman as a Friends traveler during Winter. The trip lasted 5 days. I great for families. Weather was Sunny and crowd level was Very High. Overall rating 4.1/5.
207,Bengaluru,Karnataka,Cubbon Park,City,12.9716,77.5946,2024-06-23,Monsoon,Family,6,2.7,Neutral,-0.094,5,9,Medium,Budget,Rainy,0,0,Hospitals:10;Police:9,Visited Cubbon Park in Bengaluru as a Family traveler during Monsoon. The trip lasted 6 days. I basic amenities available. Weather was Rainy and crowd level was Medium. Overall rating 2.7/5.
208,Hampi,Karnataka,Virupaksha Temple,Heritage,15.335,76.46,2024-05-05,Summer,Business,1,3.0,Neutral,-0.012,6,7,Medium,Luxury,Windy,0,0,Hospitals:4;Police:11,Visited Virupaksha Temple in Hampi as a Business traveler during Summer. The trip lasted 1 days. I experience was average. Weather was Windy and crowd level was Medium. Overall rating 3.0/5.
209,Bhopal,Madhya Pradesh,Sanchi Stupa,City,23.2599,77.4126,2025-08-03,Monsoon,Friends,6,2.4,Negative,-0.424,7,6,High,Mid-range,Cloudy,0,0,Hospitals:6;Police:1,Visited Sanchi Stupa in Bhopal as a Friends traveler during Monsoon. The trip lasted 6 days. I faced issues with crowding. Weather was Cloudy and crowd level was High. Overall rating 2.4/5.
210,Khajuraho,Madhya Pradesh,Raneh Falls,Heritage,24.8318,79.9199,2024-09-11,Monsoon,Business,1,3.7,Neutral,-0.095,7,7,Medium,Mid-range,Windy,0,0,Hospitals:1;Police:4,Visited Raneh Falls in Khajuraho as a Business traveler during Monsoon. The trip lasted 1 days. I food options were okay. Weather was Windy and crowd level was Medium. Overall rating 3.7/5.
211,Ahmedabad,Gujarat,Sabarmati Ashram,City,23.0225,72.5714,2024-03-21,Summer,Couple,1,3.5,Neutral,-0.08,4,5,High,Budget,Cold,0,0,Hospitals:13;Police:8,Visited Sabarmati Ashram in Ahmedabad as a Couple traveler during Summer. The trip lasted 1 days. I basic amenities available. Weather was Cold and crowd level was High. Overall rating 3.5/5.
212,Leh,Ladakh,Shanti Stupa,Mountain,34.1526,77.577,2024-04-22,Summer,Friends,4,3.7,Neutral,-0.051,9,9,Medium,Mid-range,Humid,0,0,Hospitals:10;Police:4,Visited Shanti Stupa in Leh as a Friends traveler during Summer. The trip lasted 4 days. I nothing extraordinary. Weather was Humid and crowd level was Medium. Overall rating 3.7/5.
213,Hampi,Karnataka,Vittala Temple,Heritage,15.335,76.46,2023-06-20,Monsoon,Business,5,3.3,Neutral,0.189,4,6,Medium,Budget,Windy,0,0,Hospitals:9;Police:3,Visited Vittala Temple in Hampi as a Business traveler during Monsoon. The trip lasted 5 days. I crowd was manageable. Weather was Windy and crowd level was Medium. Overall rating 3.3/5.
214,Shimla,Himachal Pradesh,Jakhu Temple,Hill Station,31.1048,77.1734,2024-10-28,Autumn,Business,2,3.4,Neutral,0.247,4,3,High,Luxury,Cold,0,0,Hospitals:12;Police:3,Visited Jakhu Temple in Shimla as a Business traveler during Autumn. The trip lasted 2 days. I experience was average. Weather was Cold and crowd level was High. Overall rating 3.4/5.
215,Rann of Kutch,Gujarat,White Desert,Desert,23.7337,69.8597,2023-04-26,Summer,Couple,5,1.8,Negative,-0.732,8,7,Medium,Budget,Humid,1,0,Hospitals:4;Police:3,Visited White Desert in Rann of Kutch as a Couple traveler during Summer. The trip lasted 5 days. I encountered a minor scam attempt. Weather was Humid and crowd level was Medium. Overall rating 1.8/5.
216,Hampi,Karnataka,Matanga Hill,Heritage,15.335,76.46,2025-01-02,Winter,Couple,4,4.7,Positive,0.678,10,3,Medium,Mid-range,Windy,0,0,Hospitals:7;Police:7,Visited Matanga Hill in Hampi as a Couple traveler during Winter. The trip lasted 4 days. I clean and well-maintained. Weather was Windy and crowd level was Medium. Overall rating 4.7/5.
217,Alleppey,Kerala,Alappuzha Beach,Backwaters,9.4981,76.3388,2023-05-12,Summer,Family,7,3.6,Neutral,-0.068,1,4,Medium,Luxury,Humid,0,0,Hospitals:9;Police:1,Visited Alappuzha Beach in Alleppey as a Family traveler during Summer. The trip lasted 7 days. I food options were okay. Weather was Humid and crowd level was Medium. Overall rating 3.6/5.
218,Mahabalipuram,Tamil Nadu,Shore Temple,Heritage,12.6208,80.192,2023-02-09,Winter,Friends,7,4.2,Positive,0.516,9,8,High,Budget,Cloudy,0,0,Hospitals:5;Police:1,Visited Shore Temple in Mahabalipuram as a Friends traveler during Winter. The trip lasted 7 days. I great for families. Weather was Cloudy and crowd level was High. Overall rating 4.2/5.
219,Udaipur,Rajasthan,City Palace,Heritage,24.5854,73.7125,2024-08-03,Monsoon,Business,7,4.3,Positive,0.3,6,8,Low,Luxury,Windy,0,0,Hospitals:1;Police:1,Visited City Palace in Udaipur as a Business traveler during Monsoon. The trip lasted 7 days. I great for families. Weather was Windy and crowd level was Low. Overall rating 4.3/5.
220,Leh,Ladakh,Pangong Lake,Mountain,34.1526,77.577,2023-12-08,Winter,Family,7,3.3,Neutral,-0.074,9,5,High,Budget,Rainy,0,0,Hospitals:4;Police:2,Visited Pangong Lake in Leh as a Family traveler during Winter. The trip lasted 7 days. I food options were okay. Weather was Rainy and crowd level was High. Overall rating 3.3/5.
221,Sikkim,Sikkim,Nathula Pass,Mountain,27.533,88.5122,2024-05-10,Summer,Solo,3,4.7,Positive,0.653,5,6,Medium,Mid-range,Windy,1,0,Hospitals:3;Police:1,Visited Nathula Pass in Sikkim as a Solo traveler during Summer. The trip lasted 3 days. I transport was convenient. Weather was Windy and crowd level was Medium. Overall rating 4.7/5.
222,Hyderabad,Telangana,Hussain Sagar,City,17.385,78.4867,2023-01-10,Winter,Business,6,4.1,Positive,0.691,9,5,High,Budget,Cloudy,0,0,Hospitals:10;Police:4,Visited Hussain Sagar in Hyderabad as a Business traveler during Winter. The trip lasted 6 days. I clean and well-maintained. Weather was Cloudy and crowd level was High. Overall rating 4.1/5.
223,Ahmedabad,Gujarat,Kankaria Lake,City,23.0225,72.5714,2023-04-14,Summer,Friends,7,3.4,Neutral,0.128,10,8,Medium,Mid-range,Rainy,0,0,Hospitals:9;Police:6,Visited Kankaria Lake in Ahmedabad as a Friends traveler during Summer. The trip lasted 7 days. I basic amenities available. Weather was Rainy and crowd level was Medium. Overall rating 3.4/5.
224,Orchha,Madhya Pradesh,Ram Raja Temple,Heritage,25.3519,78.64,2023-06-24,Monsoon,Friends,5,4.8,Positive,0.916,2,6,Medium,Mid-range,Rainy,0,0,Hospitals:7;Police:6,Visited Ram Raja Temple in Orchha as a Friends traveler during Monsoon. The trip lasted 5 days. I clean and well-maintained. Weather was Rainy and crowd level was Medium. Overall rating 4.8/5.
225,Haridwar,Uttarakhand,Chandi Devi,Spiritual,29.9457,78.1642,2024-12-28,Winter,Couple,3,5.0,Positive,0.647,7,2,Medium,Mid-range,Cloudy,0,0,Hospitals:13;Police:6,Visited Chandi Devi in Haridwar as a Couple traveler during Winter. The trip lasted 3 days. I scenic views were breathtaking. Weather was Cloudy and crowd level was Medium. Overall rating 5.0/5.
226,Rann of Kutch,Gujarat,White Desert,Desert,23.7337,69.8597,2024-03-27,Summer,Family,4,3.7,Neutral,0.199,9,8,Medium,Mid-range,Humid,0,0,Hospitals:6;Police:5,Visited White Desert in Rann of Kutch as a Family traveler during Summer. The trip lasted 4 days. I nothing extraordinary. Weather was Humid and crowd level was Medium. Overall rating 3.7/5.
227,Udaipur,Rajasthan,Lake Pichola,Heritage,24.5854,73.7125,2023-04-23,Summer,Couple,4,3.0,Neutral,-0.009,4,3,High,Budget,Sunny,0,0,Hospitals:12;Police:3,Visited Lake Pichola in Udaipur as a Couple traveler during Summer. The trip lasted 4 days. I food options were okay. Weather was Sunny and crowd level was High. Overall rating 3.0/5.
228,Leh,Ladakh,Khardung La,Mountain,34.1526,77.577,2023-01-19,Winter,Business,6,2.3,Negative,-0.667,6,5,Very High,Mid-range,Sunny,0,0,Hospitals:6;Police:1,Visited Khardung La in Leh as a Business traveler during Winter. The trip lasted 6 days. I had trouble finding transport. Weather was Sunny and crowd level was Very High. Overall rating 2.3/5.
229,Ahmedabad,Gujarat,Sabarmati Ashram,City,23.0225,72.5714,2025-01-29,Winter,Business,4,3.0,Neutral,0.242,5,7,Medium,Luxury,Sunny,0,0,Hospitals:4;Police:7,Visited Sabarmati Ashram in Ahmedabad as a Business traveler during Winter. The trip lasted 4 days. I food options were okay. Weather was Sunny and crowd level was Medium. Overall rating 3.0/5.
230,Manali,Himachal Pradesh,Rohtang Pass,Mountain,32.2432,77.1892,2024-02-29,Winter,Couple,1,5.0,Positive,0.525,4,5,Medium,Mid-range,Humid,0,0,Hospitals:8;Police:5,Visited Rohtang Pass in Manali as a Couple traveler during Winter. The trip lasted 1 days. I found the locals very helpful. Weather was Humid and crowd level was Medium. Overall rating 5.0/5.
231,Kochi,Kerala,Chinese Fishing Nets,Coastal,9.9312,76.2673,2023-08-07,Monsoon,Business,5,5.0,Positive,0.598,5,7,High,Mid-range,Windy,0,0,Hospitals:4;Police:10,Visited Chinese Fishing Nets in Kochi as a Business traveler during Monsoon. The trip lasted 5 days. I scenic views were breathtaking. Weather was Windy and crowd level was High. Overall rating 5.0/5.
232,Goa,Goa,Calangute Beach,Beach,15.2993,74.124,2025-01-14,Winter,Business,3,3.4,Neutral,-0.042,9,7,Very High,Budget,Rainy,0,0,Hospitals:10;Police:6,Visited Calangute Beach in Goa as a Business traveler during Winter. The trip lasted 3 days. I food options were okay. Weather was Rainy and crowd level was Very High. Overall rating 3.4/5.
233,Cherrapunji,Meghalaya,Mawsmai Caves,Nature,25.2841,91.7305,2025-06-09,Monsoon,Friends,6,2.6,Neutral,-0.13,9,4,Very High,Mid-range,Sunny,0,0,Hospitals:14;Police:7,Visited Mawsmai Caves in Cherrapunji as a Friends traveler during Monsoon. The trip lasted 6 days. I had to wait a bit. Weather was Sunny and crowd level was Very High. Overall rating 2.6/5.
234,Shillong,Meghalaya,Elephant Falls,Hill Station,25.5788,91.8933,2025-07-16,Monsoon,Couple,6,5.0,Positive,0.935,5,6,High,Luxury,Cloudy,0,0,Hospitals:14;Police:3,Visited Elephant Falls in Shillong as a Couple traveler during Monsoon. The trip lasted 6 days. I transport was convenient. Weather was Cloudy and crowd level was High. Overall rating 5.0/5.
235,Goa,Goa,Calangute Beach,Beach,15.2993,74.124,2025-07-03,Monsoon,Solo,4,5.0,Positive,0.457,9,5,Medium,Luxury,Humid,0,1,Hospitals:9;Police:2,Visited Calangute Beach in Goa as a Solo traveler during Monsoon. The trip lasted 4 days. I found the locals very helpful. Weather was Humid and crowd level was Medium. Overall rating 5.0/5.
236,Shimla,Himachal Pradesh,Kufri,Hill Station,31.1048,77.1734,2023-03-10,Summer,Family,3,3.3,Neutral,-0.051,6,5,High,Mid-range,Sunny,0,0,Hospitals:9;Police:6,Visited Kufri in Shimla as a Family traveler during Summer. The trip lasted 3 days. I experience was average. Weather was Sunny and crowd level was High. Overall rating 3.3/5.
237,Chennai,Tamil Nadu,Marina Beach,City,13.0827,80.2707,2023-11-15,Autumn,Family,5,3.5,Neutral,-0.049,9,6,Medium,Mid-range,Rainy,0,0,Hospitals:13;Police:7,Visited Marina Beach in Chennai as a Family traveler during Autumn. The trip lasted 5 days. I basic amenities available. Weather was Rainy and crowd level was Medium. Overall rating 3.5/5.
238,Gir,Gujarat,Gir National Park,Wildlife,21.124,70.8242,2023-05-03,Summer,Couple,4,3.8,Neutral,0.183,10,6,Low,Mid-range,Humid,0,0,Hospitals:9;Police:9,Visited Gir National Park in Gir as a Couple traveler during Summer. The trip lasted 4 days. I had to wait a bit. Weather was Humid and crowd level was Low. Overall rating 3.8/5.
239,Puri,Odisha,Chilika Lake,Coastal,19.8135,85.8312,2025-02-10,Winter,Couple,6,3.3,Neutral,0.046,7,6,High,Budget,Cloudy,0,0,Hospitals:13;Police:7,Visited Chilika Lake in Puri as a Couple traveler during Winter. The trip lasted 6 days. I crowd was manageable. Weather was Cloudy and crowd level was High. Overall rating 3.3/5.
240,Goa,Goa,Basilica of Bom Jesus,Beach,15.2993,74.124,2024-09-12,Monsoon,Friends,7,4.3,Positive,0.745,6,5,Medium,Budget,Humid,0,0,Hospitals:2;Police:1,Visited Basilica of Bom Jesus in Goa as a Friends traveler during Monsoon. The trip lasted 7 days. I loved the food and culture. Weather was Humid and crowd level was Medium. Overall rating 4.3/5.
241,Bhubaneswar,Odisha,Lingaraj Temple,City,20.2961,85.8245,2023-02-21,Winter,Couple,1,3.3,Neutral,0.165,8,4,Medium,Budget,Windy,0,0,Hospitals:13;Police:5,Visited Lingaraj Temple in Bhubaneswar as a Couple traveler during Winter. The trip lasted 1 days. I food options were okay. Weather was Windy and crowd level was Medium. Overall rating 3.3/5.
242,Kochi,Kerala,Chinese Fishing Nets,Coastal,9.9312,76.2673,2023-09-18,Monsoon,Family,2,1.8,Negative,-0.281,5,2,Medium,Budget,Humid,0,0,Hospitals:14;Police:3,Visited Chinese Fishing Nets in Kochi as a Family traveler during Monsoon. The trip lasted 2 days. I faced issues with crowding. Weather was Humid and crowd level was Medium. Overall rating 1.8/5.
243,Alleppey,Kerala,Alappuzha Beach,Backwaters,9.4981,76.3388,2024-05-09,Summer,Business,7,5.0,Positive,0.861,6,9,Medium,Mid-range,Sunny,0,0,Hospitals:8;Police:6,Visited Alappuzha Beach in Alleppey as a Business traveler during Summer. The trip lasted 7 days. I felt safe most of the time. Weather was Sunny and crowd level was Medium. Overall rating 5.0/5.
244,Ahmedabad,Gujarat,Adalaj Stepwell,City,23.0225,72.5714,2024-09-25,Monsoon,Business,2,4.1,Positive,0.678,6,6,Medium,Budget,Windy,0,0,Hospitals:12;Police:2,Visited Adalaj Stepwell in Ahmedabad as a Business traveler during Monsoon. The trip lasted 2 days. I transport was convenient. Weather was Windy and crowd level was Medium. Overall rating 4.1/5.
245,Gir,Gujarat,Kamleshwar Dam,Wildlife,21.124,70.8242,2023-12-29,Winter,Family,5,5.0,Positive,0.866,5,5,High,Budget,Rainy,0,0,Hospitals:14;Police:3,Visited Kamleshwar Dam in Gir as a Family traveler during Winter. The trip lasted 5 days. I clean and well-maintained. Weather was Rainy and crowd level was High. Overall rating 5.0/5.
246,Haridwar,Uttarakhand,Mansa Devi,Spiritual,29.9457,78.1642,2023-08-27,Monsoon,Friends,5,4.1,Positive,0.753,8,6,Medium,Luxury,Cloudy,0,0,Hospitals:10;Police:8,Visited Mansa Devi in Haridwar as a Friends traveler during Monsoon. The trip lasted 5 days. I found the locals very helpful. Weather was Cloudy and crowd level was Medium. Overall rating 4.1/5.
247,Udaipur,Rajasthan,Jag Mandir,Heritage,24.5854,73.7125,2025-03-27,Summer,Family,7,3.7,Neutral,0.167,6,6,Medium,Mid-range,Rainy,0,0,Hospitals:4;Police:8,Visited Jag Mandir in Udaipur as a Family traveler during Summer. The trip lasted 7 days. I had to wait a bit. Weather was Rainy and crowd level was Medium. Overall rating 3.7/5.
248,Mount Abu,Rajasthan,Nakki Lake,Hill Station,24.5925,72.7156,2024-05-19,Summer,Solo,6,4.1,Positive,0.848,2,6,High,Mid-range,Rainy,0,0,Hospitals:7;Police:8,Visited Nakki Lake in Mount Abu as a Solo traveler during Summer. The trip lasted 6 days. I scenic views were breathtaking. Weather was Rainy and crowd level was High. Overall rating 4.1/5.
249,Agra,Uttar Pradesh,Mehtab Bagh,Monument,27.1751,78.0421,2025-07-30,Monsoon,Solo,6,3.1,Neutral,-0.133,5,4,High,Mid-range,Windy,0,0,Hospitals:7;Police:7,Visited Mehtab Bagh in Agra as a Solo traveler during Monsoon. The trip lasted 6 days. I had to wait a bit. Weather was Windy and crowd level was High. Overall rating 3.1/5.
250,Andaman,Andaman & Nicobar,Cellular Jail,Island,11.7401,92.6586,2023-12-01,Winter,Couple,4,1.1,Negative,-0.202,3,8,Medium,Budget,Cloudy,0,0,Hospitals:5;Police:1,Visited Cellular Jail in Andaman as a Couple traveler during Winter. The trip lasted 4 days. I had trouble finding transport. Weather was Cloudy and crowd level was Medium. Overall rating 1.1/5.
251,Cherrapunji,Meghalaya,Living Root Bridges,Nature,25.2841,91.7305,2025-04-22,Summer,Business,2,4.6,Positive,0.546,6,7,Medium,Mid-range,Windy,0,0,Hospitals:9;Police:5,Visited Living Root Bridges in Cherrapunji as a Business traveler during Summer. The trip lasted 2 days. I transport was convenient. Weather was Windy and crowd level was Medium. Overall rating 4.6/5.
252,Nainital,Uttarakhand,Tiffin Top,Hill Station,29.3919,79.4542,2023-09-07,Monsoon,Couple,2,3.4,Neutral,0.163,8,8,Medium,Budget,Sunny,0,0,Hospitals:5;Police:6,Visited Tiffin Top in Nainital as a Couple traveler during Monsoon. The trip lasted 2 days. I nothing extraordinary. Weather was Sunny and crowd level was Medium. Overall rating 3.4/5.
253,Cherrapunji,Meghalaya,Mawsmai Caves,Nature,25.2841,91.7305,2025-06-13,Monsoon,Solo,4,2.9,Neutral,-0.047,6,4,High,Luxury,Humid,0,0,Hospitals:15;Police:2,Visited Mawsmai Caves in Cherrapunji as a Solo traveler during Monsoon. The trip lasted 4 days. I basic amenities available. Weather was Humid and crowd level was High. Overall rating 2.9/5.
254,Delhi,Delhi,Red Fort,City,28.6139,77.209,2023-09-24,Monsoon,Family,6,2.3,Negative,-0.488,7,4,High,Luxury,Sunny,0,0,Hospitals:16;Police:9,Visited Red Fort in Delhi as a Family traveler during Monsoon. The trip lasted 6 days. I felt unsafe at night. Weather was Sunny and crowd level was High. Overall rating 2.3/5.
255,Alleppey,Kerala,Houseboats,Backwaters,9.4981,76.3388,2024-01-31,Winter,Friends,3,4.5,Positive,0.818,9,8,Medium,Luxury,Cloudy,0,0,Hospitals:3;Police:2,Visited Houseboats in Alleppey as a Friends traveler during Winter. The trip lasted 3 days. I felt safe most of the time. Weather was Cloudy and crowd level was Medium. Overall rating 4.5/5.
256,Leh,Ladakh,Khardung La,Mountain,34.1526,77.577,2025-07-11,Monsoon,Family,4,3.4,Neutral,0.18,6,9,Very High,Mid-range,Cold,0,0,Hospitals:6;Police:3,Visited Khardung La in Leh as a Family traveler during Monsoon. The trip lasted 4 days. I had to wait a bit. Weather was Cold and crowd level was Very High. Overall rating 3.4/5.
257,Munnar,Kerala,Tea Museum,Hill Station,10.0892,77.0595,2024-07-28,Monsoon,Family,6,4.3,Positive,0.325,3,4,High,Luxury,Rainy,0,0,Hospitals:12;Police:3,Visited Tea Museum in Munnar as a Family traveler during Monsoon. The trip lasted 6 days. I clean and well-maintained. Weather was Rainy and crowd level was High. Overall rating 4.3/5.
258,Pondicherry,Puducherry,White Town,Coastal,11.9416,79.8083,2025-06-11,Monsoon,Friends,6,4.6,Positive,0.362,8,8,High,Luxury,Cloudy,0,0,Hospitals:3;Police:4,Visited White Town in Pondicherry as a Friends traveler during Monsoon. The trip lasted 6 days. I found the locals very helpful. Weather was Cloudy and crowd level was High. Overall rating 4.6/5.
259,Kolkata,West Bengal,Dakshineswar,City,22.5726,88.3639,2025-10-08,Autumn,Friends,3,5.0,Positive,0.503,5,4,Low,Mid-range,Rainy,0,0,Hospitals:10;Police:8,Visited Dakshineswar in Kolkata as a Friends traveler during Autumn. The trip lasted 3 days. I great for families. Weather was Rainy and crowd level was Low. Overall rating 5.0/5.
260,Goa,Goa,Calangute Beach,Beach,15.2993,74.124,2024-12-09,Winter,Solo,5,5.0,Positive,0.562,5,6,High,Mid-range,Cold,0,0,Hospitals:14;Police:10,Visited Calangute Beach in Goa as a Solo traveler during Winter. The trip lasted 5 days. I transport was convenient. Weather was Cold and crowd level was High. Overall rating 5.0/5.
261,Hampi,Karnataka,Virupaksha Temple,Heritage,15.335,76.46,2025-05-04,Summer,Family,3,3.8,Neutral,0.061,8,8,Medium,Budget,Windy,0,0,Hospitals:11;Police:1,Visited Virupaksha Temple in Hampi as a Family traveler during Summer. The trip lasted 3 days. I nothing extraordinary. Weather was Windy and crowd level was Medium. Overall rating 3.8/5.
262,Jim Corbett,Uttarakhand,Garjia Temple,Wildlife,29.53,78.7747,2024-04-15,Summer,Business,3,5.0,Positive,0.409,10,7,High,Mid-range,Windy,0,0,Hospitals:12;Police:10,Visited Garjia Temple in Jim Corbett as a Business traveler during Summer. The trip lasted 3 days. I scenic views were breathtaking. Weather was Windy and crowd level was High. Overall rating 5.0/5.
263,Kodaikanal,Tamil Nadu,Kodaikanal Lake,Hill Station,10.2381,77.4892,2024-09-07,Monsoon,Couple,4,4.1,Positive,0.594,5,6,Medium,Mid-range,Sunny,0,0,Hospitals:2;Police:8,Visited Kodaikanal Lake in Kodaikanal as a Couple traveler during Monsoon. The trip lasted 4 days. I clean and well-maintained. Weather was Sunny and crowd level was Medium. Overall rating 4.1/5.
264,Shillong,Meghalaya,Laitlum,Hill Station,25.5788,91.8933,2025-05-25,Summer,Family,3,4.3,Positive,0.334,6,6,Low,Mid-range,Windy,0,0,Hospitals:3;Police:6,Visited Laitlum in Shillong as a Family traveler during Summer. The trip lasted 3 days. I loved the food and culture. Weather was Windy and crowd level was Low. Overall rating 4.3/5.
